"experiment.ID","isolate.id","temperature","dilution","replicate","mu","best.model"
"201802_RI03_CH_0","CH30_4_RI_03",0,"1","R1",0.29570190310553,"gr.sat"
"201802_RI03_CH_0","CH30_4_RI_03",0,"1","R2",0.317157488652197,"gr.sat"
"201802_RI03_CH_0","CH30_4_RI_03",0,"1","R3",0.230866338321021,"gr"
"201802_RI03_CH_0","CH30_4_RI_03",0,"1","R4",0.264921419336661,"gr.sat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"1","R1",0.340441819157145,"gr.lag"
"201802_RI03_CH_10","CH30_4_RI_03",10,"1","R2",0.319237532976883,"gr"
"201802_RI03_CH_10","CH30_4_RI_03",10,"1","R3",0.306350821477344,"gr"
"201802_RI03_CH_10","CH30_4_RI_03",10,"1","R4",0.315209543718651,"gr"
"201802_RI03_CH_10","CH30_4_RI_03",10,"2","R1",0.320932233289437,"gr.lag"
"201802_RI03_CH_10","CH30_4_RI_03",10,"2","R2",0.435700873303833,"gr.lagsat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"2","R3",0.418531089410185,"gr.lagsat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"2","R4",0.345233899631635,"gr.lag"
"201802_RI03_CH_10","CH30_4_RI_03",10,"3","R1",0.567283572085857,"gr.sat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"3","R2",0.621799418879264,"gr.sat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"3","R3",0.562072063596568,"gr.sat"
"201802_RI03_CH_10","CH30_4_RI_03",10,"3","R4",0.537808753843929,"gr.sat"
"201802_RI03_CH_16","CH30_4_RI_03",16,"1","R1",0.549794051494259,"gr.lag"
"201802_RI03_CH_16","CH30_4_RI_03",16,"1","R2",0.509264185943591,"gr.lag"
"201802_RI03_CH_16","CH30_4_RI_03",16,"1","R3",0.467228194191906,"gr.lag"
"201802_RI03_CH_16","CH30_4_RI_03",16,"1","R4",0.715662106389558,"gr.lag"
"201802_RI03_CH_16","CH30_4_RI_03",16,"2","R1",0.545701476827491,"gr.sat"
"201802_RI03_CH_16","CH30_4_RI_03",16,"2","R2",0.483985803122744,"gr.sat"
"201802_RI03_CH_16","CH30_4_RI_03",16,"2","R3",0.513815317683411,"gr.sat"
"201802_RI03_CH_16","CH30_4_RI_03",16,"2","R4",0.531820798305331,"gr.sat"
