isolate.id,replicate,date,time,fluorescence,phosphate,dtime,log.fluor
Fr_G_1,R1,2/5/19,10:00,1.574556,10,0,0.453973328
Fr_G_1,R1,2/6/19,10:00,1.875556,10,1,0.628905149
Fr_G_1,R1,2/7/19,10:00,2.798444,10,2,1.029063548
Fr_G_1,R1,2/8/19,10:00,3.900333,10,3,1.361061934
Fr_G_1,R1,2/9/19,10:00,4.585,10,4,1.522790106
Fr_G_1,R1,2/10/19,10:00,4.719889,10,5,1.551785282
Fr_G_1,R1,2/11/19,10:00,9.666778,10,6,2.268695058
Fr_G_1,R1,2/12/19,10:00,19.908556,10,7,2.991149589
Fr_G_1,R1,2/13/19,10:00,27.984,10,8,3.331632918
Fr_G_1,R1,2/14/19,10:00,43.388333,10,9,3.77019058
Fr_G_1,R1,2/15/19,10:00,48.097556,10,10,3.873231365
Fr_G_1,R1,2/16/19,10:00,57.907667,10,11,4.058849794
Fr_G_1,R1,2/17/19,10:00,58.043667,10,12,4.061195607
Fr_G_1,R1,2/18/19,10:00,63.046333,10,13,4.143869901
Fr_G_1,R1,2/19/19,10:00,54.948111,10,14,4.006389304
Fr_G_1,R1,2/20/19,10:00,53.845556,10,15,3.986119875
Fr_G_1,R1,2/21/19,10:00,48.202667,10,16,3.875414351
Fr_G_1,R2,2/5/19,10:00,1.130222,10,0,0.122414074
Fr_G_1,R2,2/6/19,10:00,2.036444,10,1,0.71120515
Fr_G_1,R2,2/7/19,10:00,3.030333,10,2,1.108672514
Fr_G_1,R2,2/8/19,10:00,5.317556,10,3,1.671013799
Fr_G_1,R2,2/9/19,10:00,4.274444,10,4,1.452654035
Fr_G_1,R2,2/10/19,10:00,5.843556,10,5,1.765339516
Fr_G_1,R2,2/11/19,10:00,8.174889,10,6,2.101067139
Fr_G_1,R2,2/12/19,10:00,10.747778,10,7,2.374699036
Fr_G_1,R2,2/13/19,10:00,20.946778,10,8,3.04198484
Fr_G_1,R2,2/14/19,10:00,42.627778,10,9,3.752506107
Fr_G_1,R2,2/15/19,10:00,58.478,10,10,4.068650615
Fr_G_1,R2,2/16/19,10:00,74.219667,10,11,4.307029169
Fr_G_1,R2,2/17/19,10:00,86.347,10,12,4.458374062
Fr_G_1,R2,2/18/19,10:00,96.856444,10,13,4.573229924
Fr_G_1,R2,2/19/19,10:00,95.981444,10,14,4.564154881
Fr_G_1,R2,2/20/19,10:00,99.272778,10,15,4.597871394
Fr_G_1,R2,2/21/19,10:00,90.962889,10,16,4.51045161
Fr_G_1,R3,2/5/19,10:00,1.141222,10,0,0.132099618
